nombre,ultimo_valor,valor_comparacion,unidad,periodos,periodos_unidad
Bloqueos,0,0,bloqueos,1,días
USDT compra,11.556,11.493,Bs/USDT,1,días
Dolar Referencial compra,11.71,11.77,Bs/USD,1,días
