fecha,banco,valor,monto
2026-06-29,Banco BISA,9.72,3957089.0
2026-06-29,Banco Económico,9.77,5194132.0
2026-06-29,Banco Fortaleza,9.82,400000.0
2026-06-29,Banco Ganadero,9.78,3046253.0
2026-06-29,Banco Mercantil Santa Cruz,9.64,3150669.0
2026-06-29,Banco Nacional de Bolivia,9.75,1440469.0
2026-06-29,Banco Solidario,9.63,105300.0
2026-06-29,Banco Unión,9.05,650.0
2026-06-29,Banco de Crédito,9.46,21481.0
2026-06-29,Banco de la Nación Argentina,9.7,7425.0
2026-06-30,Banco BISA,9.73,2707410.0
2026-06-30,Banco Económico,9.79,418104.0
2026-06-30,Banco FIE,9.73,105419.0
2026-06-30,Banco Fortaleza,9.73,123435.0
2026-06-30,Banco Ganadero,9.7,1721370.0
2026-06-30,Banco Mercantil Santa Cruz,9.8,9831975.0
2026-06-30,Banco Nacional de Bolivia,9.59,1421597.0
2026-06-30,Banco PYME Ecofuturo,9.73,730.0
2026-06-30,Banco PYME de la Comunidad,9.73,7544.0
2026-06-30,Banco Prodem,9.63,10687.0
2026-06-30,Banco Solidario,9.73,246271.0
2026-06-30,Banco Unión,9.73,676658.0
2026-06-30,Banco de Crédito,9.67,99697.0
2026-06-30,Banco de la Nación Argentina,9.63,8870.0
2026-07-01,Banco BISA,9.79,1521341.0
2026-07-01,Banco Económico,9.72,114942.0
2026-07-01,Banco FIE,9.66,11564.0
2026-07-01,Banco Fortaleza,9.71,169833.0
2026-07-01,Banco Ganadero,9.73,2793562.0
2026-07-01,Banco Mercantil Santa Cruz,9.77,1250939.0
2026-07-01,Banco Nacional de Bolivia,9.57,492923.0
2026-07-01,Banco PYME Ecofuturo,9.76,602.0
2026-07-01,Banco PYME de la Comunidad,9.76,244.0
2026-07-01,Banco Prodem,9.56,3759.0
2026-07-01,Banco Solidario,9.79,1908014.0
2026-07-01,Banco Unión,9.76,96187.0
2026-07-01,Banco de Crédito,9.78,2024916.0
2026-07-01,Banco de la Nación Argentina,9.66,6332.0
2026-07-02,Banco BISA,9.79,14976501.0
2026-07-02,Banco Económico,9.76,211466.0
2026-07-02,Banco FIE,9.66,8284.0
2026-07-02,Banco Fortaleza,9.75,96871.0
2026-07-02,Banco Ganadero,9.78,5914983.0
2026-07-02,Banco Mercantil Santa Cruz,9.56,406827.0
2026-07-02,Banco Nacional de Bolivia,9.75,2980659.0
2026-07-02,Banco PYME Ecofuturo,9.36,3620.0
2026-07-02,Banco PYME de la Comunidad,9.76,216.0
2026-07-02,Banco Prodem,9.36,5846.0
2026-07-02,Banco Solidario,9.76,2633673.0
2026-07-02,Banco Unión,9.89,1623334.0
2026-07-02,Banco de Crédito,9.77,993657.0
2026-07-02,Banco de la Nación Argentina,9.66,16886.0
2026-07-03,Banco BISA,9.81,8452401.0
2026-07-03,Banco Económico,9.78,1620163.0
2026-07-03,Banco FIE,9.68,40169.0
