fecha,valor,monto
2026-06-29,9.73,17323468.0
2026-06-30,9.76,17379767.0
2026-07-01,9.76,10395157.0
2026-07-02,9.78,29872825.0
2026-07-03,9.8,21101076.0
2026-07-04,9.83,22090693.0
2026-07-07,9.89,11876844.0
2026-07-08,9.96,23859096.0
2026-07-09,10.1,28455257.0
2026-07-10,10.24,29768606.0
2026-07-11,10.4,36883973.0
2026-07-14,10.5,11528046.0
2026-07-15,10.7,42988672.0
2026-07-17,10.75,18128517.0
2026-07-18,10.85,37816606.0
2026-07-21,10.9,-
2026-07-22,11.0,-
2026-07-23,11.13,39038276.0
2026-07-24,11.21,28564660.0
2026-07-25,11.37,38397534.0
2026-07-26,11.37,38397534.0
2026-07-27,11.37,38397534.0
2026-07-28,11.54,21140379.0
2026-07-29,11.8,38853476.0
2026-07-30,11.89,41659337.0
2026-07-31,12.15,38725847.0
2026-08-01,12.13,-
2026-08-02,12.13,41162394.0
2026-08-03,12.13,41162394.0
2026-08-04,12.08,26814902.0
2026-08-05,12.02,159940755.0
2026-08-06,11.86,60483040.0
2026-08-07,11.86,60483040.0
2026-08-08,11.86,60483040.0
2026-08-09,11.86,60483040.0
2026-08-10,11.86,60483040.0
2026-08-11,11.77,62709169.0
2026-08-12,11.71,96255618.0
2026-08-13,11.66,38911851
2026-08-14,11.62,42098061.0
2026-08-15,11.58,36316075
2026-08-16,11.58,36316075
2026-08-17,11.58,36316075
2026-08-18,11.55,29279047.0
2026-08-19,11.52,69459180.0
2026-08-20,11.52,69459180.0
2026-08-21,11.52,32711090
2026-08-22,11.52,32711090
2026-08-23,11.52,32711090
2026-08-24,11.52,32711090
2026-08-25,11.52,32711090
2026-08-26,11.52,32711090
