referencia,tipo,valor
8_nov,competitivo,10.622
8_nov,profundidad,9.760
8_nov,tranzado_estimado,10.601
8_nov_3m,competitivo,13.236
8_nov_3m,profundidad,11.300
8_nov_3m,tranzado_estimado,12.547
