fecha,total,top_5
2026-06-16T12:00:00-04:00,1026365.855,225886.235
2026-06-16T18:00:00-04:00,1322517.890,249726.913
2026-06-17T00:00:00-04:00,549646.410,162517.570
2026-06-17T06:00:00-04:00,858961.870,233376.240
2026-06-17T12:00:00-04:00,1007160.220,221094.207
2026-06-17T18:00:00-04:00,895125.685,260448.770
2026-06-18T00:00:00-04:00,333530.075,132203.325
2026-06-18T06:00:00-04:00,793736.160,269081.020
2026-06-18T12:00:00-04:00,966505.217,249236.510
2026-06-18T18:00:00-04:00,536878.205,167232.255
2026-06-19T00:00:00-04:00,507279.730,248504.710
2026-06-19T06:00:00-04:00,767099.270,219307.880
2026-06-19T12:00:00-04:00,723083.570,269761.037
2026-06-19T18:00:00-04:00,531298.635,264048.965
2026-06-20T00:00:00-04:00,117361.510,46804.480
2026-06-20T06:00:00-04:00,450809.873,148810.193
2026-06-20T12:00:00-04:00,832057.815,256053.818
2026-06-20T18:00:00-04:00,817156.317,238297.880
2026-06-21T00:00:00-04:00,542674.680,236128.860
2026-06-21T06:00:00-04:00,747578.140,199441.283
2026-06-21T12:00:00-04:00,849434.965,184401.783
2026-06-21T18:00:00-04:00,733662.905,199047.845
2026-06-22T00:00:00-04:00,291673.840,102417.520
2026-06-22T06:00:00-04:00,830076.150,276960.120
2026-06-22T12:00:00-04:00,780787.990,225767.000
2026-06-22T18:00:00-04:00,870362.725,210728.730
2026-06-23T00:00:00-04:00,404854.515,100284.950
2026-06-23T06:00:00-04:00,1127722.750,231886.915
2026-06-23T12:00:00-04:00,1857164.840,363814.930
2026-06-23T18:00:00-04:00,1167578.150,281305.153
2026-06-24T00:00:00-04:00,489111.070,140425.170
2026-06-24T06:00:00-04:00,1008956.967,299049.213
2026-06-24T12:00:00-04:00,1329140.900,304684.730
2026-06-24T18:00:00-04:00,742260.065,189454.070
2026-06-25T00:00:00-04:00,299311.095,127536.045
2026-06-25T06:00:00-04:00,928278.880,259139.755
2026-06-25T12:00:00-04:00,1831050.607,375157.543
2026-06-25T18:00:00-04:00,906103.257,293471.443
2026-06-26T00:00:00-04:00,274653.930,101599.140
2026-06-26T06:00:00-04:00,706148.703,197354.573
2026-06-26T12:00:00-04:00,1084987.675,312054.620
2026-06-26T18:00:00-04:00,575525.500,175340.065
2026-06-27T00:00:00-04:00,210196.850,104369.550
2026-06-27T06:00:00-04:00,568002.105,196296.650
2026-06-27T12:00:00-04:00,858634.484,255942.358
2026-06-27T18:00:00-04:00,1075627.650,299789.350
2026-06-28T00:00:00-04:00,627932.235,286895.180
2026-06-28T06:00:00-04:00,578087.780,173522.000
2026-06-28T12:00:00-04:00,850794.565,243490.802
2026-06-28T18:00:00-04:00,943948.400,296496.420
2026-06-29T00:00:00-04:00,786317.260,285950.780
2026-06-29T06:00:00-04:00,1444267.730,386175.640
2026-06-29T12:00:00-04:00,632332.113,195517.937
2026-06-29T18:00:00-04:00,489489.330,205580.675
2026-06-30T00:00:00-04:00,297044.530,139198.210
2026-06-30T06:00:00-04:00,449892.100,182066.335
2026-06-30T12:00:00-04:00,721781.525,207349.930
2026-06-30T18:00:00-04:00,717059.690,206480.750
2026-07-01T00:00:00-04:00,375435.640,104613.750
2026-07-01T06:00:00-04:00,600791.625,181313.915
2026-07-01T12:00:00-04:00,675653.217,285574.545
2026-07-01T18:00:00-04:00,694216.205,204778.295
2026-07-02T00:00:00-04:00,377989.650,124569.350
2026-07-02T06:00:00-04:00,740801.835,205130.255
2026-07-02T12:00:00-04:00,1524099.400,336555.410
2026-07-02T18:00:00-04:00,1325178.770,308422.965
2026-07-03T00:00:00-04:00,710541.645,236583.355
2026-07-03T06:00:00-04:00,796670.347,236483.810
2026-07-03T12:00:00-04:00,702554.097,227302.043
2026-07-03T18:00:00-04:00,779439.605,267291.695
2026-07-04T00:00:00-04:00,369044.170,163626.847
2026-07-04T06:00:00-04:00,582308.550,209247.165
2026-07-04T12:00:00-04:00,663284.836,194695.594
2026-07-04T18:00:00-04:00,681229.847,200273.183
2026-07-05T00:00:00-04:00,413886.190,165264.810
2026-07-05T06:00:00-04:00,651525.583,202041.543
2026-07-05T12:00:00-04:00,826397.497,240248.525
2026-07-05T18:00:00-04:00,748491.655,230632.030
2026-07-06T00:00:00-04:00,372979.360,142864.645
2026-07-06T06:00:00-04:00,921875.150,206287.090
2026-07-06T12:00:00-04:00,932184.885,249487.187
2026-07-06T18:00:00-04:00,755736.640,161285.440
2026-07-07T00:00:00-04:00,355203.400,241525.960
2026-07-07T06:00:00-04:00,544278.040,175202.010
2026-07-07T12:00:00-04:00,818006.557,282762.467
2026-07-07T18:00:00-04:00,682450.410,302064.590
2026-07-08T00:00:00-04:00,148083.760,99691.945
2026-07-08T06:00:00-04:00,442548.373,226490.220
2026-07-08T12:00:00-04:00,832118.020,336237.600
2026-07-08T18:00:00-04:00,1093754.615,330319.315
2026-07-09T00:00:00-04:00,314421.430,176796.550
2026-07-09T06:00:00-04:00,480234.275,230325.800
2026-07-09T12:00:00-04:00,948981.613,305127.603
2026-07-09T18:00:00-04:00,772219.977,305114.877
2026-07-10T00:00:00-04:00,493154.200,303003.670
2026-07-10T06:00:00-04:00,604249.760,272987.280
2026-07-10T12:00:00-04:00,1122374.535,318595.778
2026-07-10T18:00:00-04:00,1032670.270,281935.650
2026-07-11T00:00:00-04:00,292383.840,136036.300
2026-07-11T06:00:00-04:00,688809.328,212065.562
2026-07-11T12:00:00-04:00,580806.645,201893.935
2026-07-11T18:00:00-04:00,988303.950,279880.465
2026-07-12T00:00:00-04:00,595614.143,190376.103
2026-07-12T06:00:00-04:00,923862.724,303430.526
2026-07-12T12:00:00-04:00,873801.094,252189.876
2026-07-12T18:00:00-04:00,785646.787,241795.950
2026-07-13T00:00:00-04:00,322049.355,105419.830
2026-07-13T06:00:00-04:00,894125.625,307668.400
2026-07-13T12:00:00-04:00,982202.077,295551.552
2026-07-13T18:00:00-04:00,608292.062,224488.990
2026-07-14T00:00:00-04:00,326760.190,114207.095
2026-07-14T06:00:00-04:00,778612.045,220143.778
2026-07-14T12:00:00-04:00,797038.985,190881.505
2026-07-14T18:00:00-04:00,643332.910,216782.610
2026-07-15T00:00:00-04:00,341551.207,148221.997
2026-07-15T06:00:00-04:00,713809.807,211237.313
2026-07-15T12:00:00-04:00,669795.146,255418.940
2026-07-15T18:00:00-04:00,836851.633,258792.503
2026-07-16T00:00:00-04:00,356677.965,160831.550
2026-07-16T06:00:00-04:00,806288.617,279115.323
2026-07-16T12:00:00-04:00,852401.145,244822.295
2026-07-16T18:00:00-04:00,934180.430,252874.707
2026-07-17T00:00:00-04:00,817404.370,328236.000
2026-07-17T06:00:00-04:00,823844.625,282392.218
2026-07-17T12:00:00-04:00,1107045.845,299576.408
2026-07-17T18:00:00-04:00,1007844.443,286031.090
2026-07-18T00:00:00-04:00,275677.187,168160.440
2026-07-18T06:00:00-04:00,773534.160,255464.140
2026-07-18T12:00:00-04:00,1057161.034,278765.426
2026-07-18T18:00:00-04:00,693389.493,177329.680
2026-07-19T00:00:00-04:00,491819.127,153534.880
2026-07-19T06:00:00-04:00,643390.040,265724.856
2026-07-19T12:00:00-04:00,838956.838,323115.864
2026-07-19T18:00:00-04:00,797683.123,258045.933
2026-07-20T00:00:00-04:00,166468.605,93864.850
2026-07-20T06:00:00-04:00,436946.393,174282.923
2026-07-20T12:00:00-04:00,572522.090,211941.320
2026-07-20T18:00:00-04:00,627144.867,233773.330
2026-07-21T00:00:00-04:00,329450.045,209429.375
2026-07-21T06:00:00-04:00,712397.620,260741.460
2026-07-21T12:00:00-04:00,734859.765,178352.105
2026-07-21T18:00:00-04:00,425573.323,162401.747
2026-07-22T00:00:00-04:00,342899.883,111324.987
2026-07-22T06:00:00-04:00,900106.943,297161.993
2026-07-22T12:00:00-04:00,974727.905,267018.018
2026-07-22T18:00:00-04:00,680733.777,198591.887
2026-07-23T00:00:00-04:00,688613.005,343885.320
2026-07-23T06:00:00-04:00,822232.700,233959.850
2026-07-23T12:00:00-04:00,929229.585,278080.010
2026-07-23T18:00:00-04:00,633546.167,230095.220
2026-07-24T00:00:00-04:00,302915.607,101579.517
2026-07-24T06:00:00-04:00,517976.057,184583.197
2026-07-24T12:00:00-04:00,616116.022,225556.550
2026-07-24T18:00:00-04:00,665434.937,217084.713
2026-07-25T00:00:00-04:00,222083.775,132354.010
2026-07-25T06:00:00-04:00,495416.663,153517.390
2026-07-25T12:00:00-04:00,832763.815,174535.727
2026-07-25T18:00:00-04:00,979366.040,214968.040
2026-07-26T00:00:00-04:00,872709.560,270605.210
2026-07-26T06:00:00-04:00,972576.162,335246.012
2026-07-26T12:00:00-04:00,931988.987,256895.695
2026-07-26T18:00:00-04:00,706646.293,194554.450
2026-07-27T06:00:00-04:00,892746.450,257005.220
2026-07-27T12:00:00-04:00,1110829.732,269610.998
2026-07-27T18:00:00-04:00,1114442.053,305487.050
2026-07-28T00:00:00-04:00,561867.720,193676.210
2026-07-28T06:00:00-04:00,948354.887,292917.393
2026-07-28T12:00:00-04:00,1064672.920,271694.620
2026-07-28T18:00:00-04:00,1051173.983,240667.163
2026-07-29T00:00:00-04:00,305259.280,122001.420
2026-07-29T06:00:00-04:00,622689.723,244333.857
2026-07-29T12:00:00-04:00,1140494.242,324050.550
2026-07-29T18:00:00-04:00,1061363.347,268645.715
2026-07-30T00:00:00-04:00,430982.705,146947.910
2026-07-30T06:00:00-04:00,1076595.217,302113.533
2026-07-30T12:00:00-04:00,1149830.770,297516.035
2026-07-30T18:00:00-04:00,954119.707,342294.450
2026-07-31T00:00:00-04:00,534449.045,235855.125
2026-07-31T06:00:00-04:00,1068212.277,306783.110
2026-07-31T12:00:00-04:00,995537.280,300479.213
2026-07-31T18:00:00-04:00,1125346.153,257325.370
2026-08-01T00:00:00-04:00,567616.707,176782.143
2026-08-01T06:00:00-04:00,904857.372,254176.490
2026-08-01T12:00:00-04:00,867000.346,251232.700
2026-08-01T18:00:00-04:00,739146.993,175898.117
2026-08-02T00:00:00-04:00,453063.677,117900.973
2026-08-02T06:00:00-04:00,692441.396,170591.632
2026-08-02T12:00:00-04:00,934317.390,276431.464
2026-08-02T18:00:00-04:00,843741.480,250951.070
2026-08-03T00:00:00-04:00,341765.620,85988.890
2026-08-03T06:00:00-04:00,642788.445,201500.860
2026-08-03T12:00:00-04:00,779391.355,217824.102
2026-08-03T18:00:00-04:00,857429.950,236055.470
2026-08-04T00:00:00-04:00,536242.500,190166.010
2026-08-04T06:00:00-04:00,819541.950,226719.567
