fecha,valor
2026-02-26,9.080
2026-02-27,8.920
2026-03-02,8.400
2026-03-03,8.190
2026-03-04,8.690
2026-03-05,8.850
2026-03-06,8.480
2026-03-09,8.780
2026-03-10,8.490
2026-03-11,8.680
2026-03-12,9.180
2026-03-13,8.940
2026-03-16,9.050
2026-03-17,9.010
2026-03-18,8.900
2026-03-19,8.900
2026-03-20,9.380
2026-03-23,8.810
2026-03-24,8.660
2026-03-25,9.040
2026-03-26,8.810
2026-03-27,9.010
2026-03-30,8.570
2026-03-31,8.770
2026-04-01,8.840
2026-04-02,8.420
2026-04-06,8.960
2026-04-07,9.000
2026-04-08,9.010
2026-04-09,9.410
2026-04-10,9.250
2026-04-13,9.260
2026-04-14,9.160
2026-04-15,9.110
2026-04-16,9.180
2026-04-17,9.430
2026-04-20,9.430
2026-04-21,9.390
2026-04-22,9.390
2026-04-23,9.420
2026-04-24,9.480
2026-04-27,9.540
2026-04-28,9.520
2026-04-29,9.590
2026-04-30,9.700
2026-05-04,9.800
2026-05-05,9.870
2026-05-06,9.990
2026-05-07,9.990
2026-05-08,10.100
2026-05-11,10.140
2026-05-12,10.180
2026-05-13,10.040
2026-05-14,10.110
2026-05-15,10.040
2026-05-18,9.910
2026-05-19,9.980
2026-05-20,9.980
2026-05-21,9.920
2026-05-22,9.940
2026-05-25,9.920
2026-05-26,9.900
