referencia,tipo,valor
8_nov,competitivo,10.632
8_nov,profundidad,11.517
8_nov,tranzado_estimado,10.973
8_nov_3m,competitivo,11.658
8_nov_3m,profundidad,13.416
8_nov_3m,tranzado_estimado,13.084
