date,canasta_basica,combustibles,conflicto_bloqueos,conflicto_demandas_y_negociacion,desarrollo,divisas,minero_cooperativista,obras_publicas,productivo,salarios,sistema_financiero,transporte_tarifas,economia_negativo,economia_positivo
2023-01-01,3.0040,0.0069,7.1787,0.7845,0.9784,2.2434,2.1554,0.4011,0.0937,0.9317,1.3240,2.6289,29.0174,7.7421
2023-01-02,0.8590,0.3230,5.6293,2.2582,0.5729,1.1505,1.4894,0.6406,0.4556,0.3836,1.2539,0.1904,24.2966,14.2846
2023-01-03,1.4655,0.1126,10.0270,1.5533,1.0188,1.3168,1.3443,1.6303,0.4590,0.7018,0.7722,0.6561,25.6392,14.7609
2023-01-04,1.7557,0.1413,7.6065,2.0477,0.8970,0.9337,0.4035,1.4497,1.3469,1.0175,0.9008,0.4300,28.4124,13.6762
2023-01-05,2.6970,0.3005,5.0433,2.9011,0.6105,0.8332,0.4981,1.4032,1.1623,0.7965,1.3563,0.4285,26.0821,12.2226
2023-01-06,3.9649,0.3931,4.2594,2.3277,0.5363,1.5898,0.7912,1.9651,0.8371,0.8646,1.0684,0.7206,28.8280,13.1610
2023-01-07,3.1051,0.3837,3.3623,3.2461,0.8912,1.7714,0.6194,1.8987,1.3164,1.0132,0.9894,0.6509,24.6553,10.2138
2023-01-08,3.6578,0.5057,3.0344,1.9362,0.9356,1.4388,0.9023,2.4101,0.7002,0.5811,0.7500,0.4930,21.2507,14.7535
2023-01-09,3.3886,0.2662,3.4436,2.5448,0.7115,1.6955,1.1787,1.1985,0.9973,1.1514,2.2912,0.6381,25.5864,12.8668
2023-01-10,2.9157,0.2520,3.0043,3.5910,0.6743,1.4062,0.5366,1.4904,1.0773,1.4019,1.0026,0.8535,32.6523,12.3127
2023-01-11,2.2117,0.4012,4.9138,4.3583,0.8803,1.1687,0.7702,2.0074,0.7948,0.8694,0.7564,0.5696,22.0345,15.7636
2023-01-12,2.0695,0.2266,3.9029,2.9114,0.5481,0.7400,0.7421,1.8986,1.4197,0.9935,0.8311,0.8258,15.3907,23.0886
2023-01-13,2.5678,0.2367,2.2058,1.9991,0.7887,0.9251,0.8451,1.8368,1.6207,1.0559,0.7798,0.7566,17.7333,20.7262
2023-01-14,2.5484,0.4952,3.0524,2.2299,0.7734,0.5637,0.6868,2.5942,1.5476,1.0610,0.7378,0.8554,25.4527,18.9872
2023-01-15,4.0870,0.4153,2.6741,1.8898,0.2000,1.2809,1.0023,1.2433,1.1971,0.9595,0.9947,0.8333,30.6481,13.6917
2023-01-16,1.5253,0.5316,1.7859,1.1214,0.3130,1.8392,0.9125,1.1973,1.4662,0.6211,1.3669,0.8748,25.5865,25.6564
2023-01-17,1.5903,0.4004,3.2687,2.1996,0.6516,1.3423,0.4810,1.6585,1.2179,0.8134,1.3521,0.8695,24.1257,32.1378
2023-01-18,1.5196,0.1659,1.8491,2.5556,0.8803,1.7006,1.0101,1.8920,0.9074,1.1327,1.2110,0.9450,13.6501,32.6215
2023-01-19,1.5323,0.3332,2.0101,2.3104,1.1242,1.2830,0.9843,1.9376,0.7356,0.7499,0.6520,1.2069,23.4393,17.8617
2023-01-20,1.0877,0.2014,1.3669,2.2174,1.2898,1.1640,0.8696,2.1334,0.9421,0.9108,1.2459,0.7699,23.6991,23.2804
2023-01-21,0.8785,0.1758,1.9423,1.7656,1.3410,1.8448,1.1231,2.1224,1.4394,1.1906,0.7480,0.9048,13.3149,22.8224
2023-01-22,1.9047,0.0722,1.8835,2.2235,0.9217,1.5178,0.9519,1.9668,1.1217,1.0122,0.4208,0.7523,16.2602,32.4352
2023-01-23,1.5481,0.1857,1.0411,1.3460,1.9876,1.8156,0.9941,2.0972,1.8342,1.1238,0.9825,0.8695,28.0697,22.2811
2023-01-24,1.3209,0.1695,1.8529,1.5087,1.2243,2.3067,0.6064,1.6822,1.4457,0.6402,1.4949,0.5925,30.3363,10.3715
2023-01-25,2.0138,0.5307,1.0675,1.9908,0.9811,1.3614,0.9601,1.2638,1.6486,0.8919,0.8383,0.4958,21.2228,20.0264
2023-01-26,0.8069,0.2852,2.0584,1.8956,0.9780,1.1385,1.0206,1.8707,1.0465,0.5490,0.9196,0.8230,25.4911,16.4659
2023-01-27,0.9230,0.2277,0.6203,1.9597,0.7940,0.6447,1.0084,1.2150,2.2879,1.2545,0.8160,0.6903,18.5537,18.9326
2023-01-28,2.0386,0.2321,1.5356,1.2897,1.1749,1.8412,1.4951,1.7068,1.8495,0.4648,0.6732,1.2079,24.1546,19.0898
2023-01-29,1.5875,0.4680,1.2352,0.6879,0.8150,1.8310,1.0173,1.4695,0.9286,0.7828,0.5724,0.5740,28.1758,24.7254
2023-01-30,1.5971,0.3416,1.2677,1.2650,0.6699,0.6830,0.7471,1.7541,0.8773,0.4607,0.3672,0.7100,17.2212,24.5140
2023-01-31,1.3923,0.2557,1.3068,1.8605,0.7367,0.8096,0.9099,1.9777,0.7532,0.7410,1.7888,0.7910,23.0673,19.0818
2023-02-01,1.3274,0.8172,0.9017,1.8483,1.0633,0.6291,1.0539,2.9312,1.1089,0.5849,1.3113,0.7547,28.2518,17.0513
2023-02-02,2.3120,0.6481,0.5998,1.0800,0.7343,0.7006,0.6715,2.6189,1.0749,0.7909,0.8977,0.9413,28.2094,16.5641
2023-02-03,1.7171,0.8100,0.8561,0.9742,1.3840,1.1556,0.7474,2.6498,1.2766,0.8358,1.4377,0.9907,23.9112,19.0175
