fecha,bloqueos
2020-09-01T00:00:00-04:00,29
2020-10-01T00:00:00-04:00,28
2020-11-01T00:00:00-04:00,35
2020-12-01T00:00:00-04:00,21
2021-01-01T00:00:00-04:00,138
2021-02-01T00:00:00-04:00,62
2021-03-01T00:00:00-04:00,56
2021-04-01T00:00:00-04:00,55
2021-05-01T00:00:00-04:00,42
2021-06-01T00:00:00-04:00,24
2021-07-01T00:00:00-04:00,70
2021-08-01T00:00:00-04:00,48
2021-09-01T00:00:00-04:00,56
2021-10-01T00:00:00-04:00,44
2021-11-01T00:00:00-04:00,269
2021-12-01T00:00:00-04:00,55
2022-01-01T00:00:00-04:00,49
2022-02-01T00:00:00-04:00,59
2022-03-01T00:00:00-04:00,183
2022-04-01T00:00:00-04:00,93
2022-05-01T00:00:00-04:00,52
2022-06-01T00:00:00-04:00,75
2022-07-01T00:00:00-04:00,88
2022-08-01T00:00:00-04:00,107
2022-09-01T00:00:00-04:00,69
2022-10-01T00:00:00-04:00,314
2022-11-01T00:00:00-04:00,438
2022-12-01T00:00:00-04:00,51
2023-01-01T00:00:00-04:00,151
2023-02-01T00:00:00-04:00,18
2023-03-01T00:00:00-04:00,298
2023-04-01T00:00:00-04:00,90
2023-05-01T00:00:00-04:00,43
2023-06-01T00:00:00-04:00,45
2023-07-01T00:00:00-04:00,122
2023-08-01T00:00:00-04:00,76
2023-09-01T00:00:00-04:00,87
2023-10-01T00:00:00-04:00,60
2023-11-01T00:00:00-04:00,80
2023-12-01T00:00:00-04:00,101
2024-01-01T00:00:00-04:00,522
2024-02-01T00:00:00-04:00,187
2024-03-01T00:00:00-04:00,43
2024-04-01T00:00:00-04:00,33
2024-05-01T00:00:00-04:00,132
2024-06-01T00:00:00-04:00,83
2024-07-01T00:00:00-04:00,184
2024-08-01T00:00:00-04:00,319
2024-09-01T00:00:00-04:00,137
2024-10-01T00:00:00-04:00,436
2024-11-01T00:00:00-04:00,132
2024-12-01T00:00:00-04:00,16
2025-01-01T00:00:00-04:00,20
2025-02-01T00:00:00-04:00,36
2025-03-01T00:00:00-04:00,23
2025-04-01T00:00:00-04:00,27
2025-05-01T00:00:00-04:00,79
2025-06-01T00:00:00-04:00,481
2025-07-01T00:00:00-04:00,10
2025-08-01T00:00:00-04:00,24
2025-09-01T00:00:00-04:00,9
2025-10-01T00:00:00-04:00,38
2025-11-01T00:00:00-04:00,16
2025-12-01T00:00:00-04:00,115
2026-01-01T00:00:00-04:00,633
2026-02-01T00:00:00-04:00,26
2026-03-01T00:00:00-04:00,66
2026-04-01T00:00:00-04:00,115
2026-05-01T00:00:00-04:00,687
