codigo,fecha,valor
1,2023-10-31,44.69
2,2023-10-31,150.51
3,2023-10-31,1424.22
4,2023-10-31,34.36
1,2023-11-30,40.46
2,2023-11-30,151.22
3,2023-11-30,1460.98
4,2023-11-30,34.86
1,2023-12-31,40.76
2,2023-12-31,165.67
3,2023-12-31,1566.26
4,2023-12-31,35.07
1,2024-01-31,40.55
2,2024-01-31,172.12
3,2024-01-31,1467.82
4,2024-01-31,34.85
1,2024-02-29,35.34
2,2024-02-29,156.54
3,2024-02-29,1455.65
4,2024-02-29,34.59
1,2024-03-31,35.42
2,2024-03-31,154.07
3,2024-03-31,1553.7
4,2024-03-31,34.63
1,2024-04-30,35.35
2,2024-04-30,139.31
3,2024-04-30,1688.48
4,2024-04-30,34.52
1,2024-05-31,30.56
2,2024-05-31,315.72
3,2024-05-31,1659.29
4,2024-05-31,34.52
1,2024-06-30,30.46
2,2024-06-30,209.99
3,2024-06-30,1666.38
4,2024-06-30,34.37
1,2024-07-31,5.45
2,2024-07-31,160.69
3,2024-07-31,1722.11
4,2024-07-31,34.72
1,2024-08-31,5.24
2,2024-08-31,153.09
3,2024-08-31,1815.12
4,2024-08-31,35.15
1,2024-09-30,5.28
2,2024-09-30,139.7
3,2024-09-30,1889.83
4,2024-09-30,35.41
1,2024-10-31,5.19
2,2024-10-31,137.88
3,2024-10-31,1991.79
4,2024-10-31,34.81
1,2024-11-30,0.54
2,2024-11-30,147.05
3,2024-11-30,1875.05
4,2024-11-30,34.26
1,2024-12-31,6.41
2,2024-12-31,46.81
3,2024-12-31,1889.26
4,2024-12-31,34.06
1,2025-01-31,15.46
2,2025-01-31,57.02
3,2025-01-31,1996.74
4,2025-01-31,34.15
1,2025-02-28,19.49
2,2025-02-28,78.27
3,2025-02-28,2055.92
4,2025-02-28,34.23
1,2025-03-31,19.73
2,2025-03-31,53.59
3,2025-03-31,2194.08
4,2025-03-31,34.61
1,2025-04-30,20.24
2,2025-04-30,165.19
3,2025-04-30,2397.23
4,2025-04-30,35.49
1,2025-05-31,16.37
2,2025-05-31,29.94
3,2025-05-31,2437.75
4,2025-05-31,35.31
1,2025-06-30,16.63
2,2025-06-30,264.63
3,2025-06-30,2489.83
4,2025-06-30,35.86
1,2025-07-31,26.63
2,2025-07-31,67.2
3,2025-07-31,2596.28
4,2025-07-31,35.6
1,2025-08-31,22.98
2,2025-08-31,170.73
3,2025-08-31,2651.83
4,2025-08-31,35.7
1,2025-09-30,23.03
2,2025-09-30,102.49
3,2025-09-30,3113.74
