departamento,fecha,componente,missing
cochabamba,2024-09-01,Abarrotes,5.5493
cochabamba,2024-09-01,Bazar,5.5223
cochabamba,2024-09-01,Bebidas,5.5729
cochabamba,2024-09-01,Carnes,9.9436
cochabamba,2024-09-01,Congelados,7.9377
cochabamba,2024-09-01,Cuidado Personal,11.3114
cochabamba,2024-09-01,Cuidado del Bebé,2.655
cochabamba,2024-09-01,Cuidado del Hogar,4.4464
cochabamba,2024-09-01,Fiambres,2.4189
cochabamba,2024-09-01,Frutas y Verduras,1.9961
cochabamba,2024-09-01,Granos y Hortalizas,43.436
cochabamba,2024-09-01,Lácteos y Derivados,10.3467
cochabamba,2024-09-01,Panadería,8.682
cochabamba,2024-09-01,Pastelería y Masas Típicas,5.6264
la_paz,2024-09-01,Abarrotes,5.8723
la_paz,2024-09-01,Bazar,0.4397
la_paz,2024-09-01,Bebidas,7.228
la_paz,2024-09-01,Carnes,6.6277
la_paz,2024-09-01,Congelados,3.6232
la_paz,2024-09-01,Cuidado Personal,7.2857
la_paz,2024-09-01,Cuidado del Bebé,6.4212
la_paz,2024-09-01,Cuidado del Hogar,7.9357
la_paz,2024-09-01,Fiambres,3.0044
la_paz,2024-09-01,Frutas y Verduras,9.117
la_paz,2024-09-01,Granos y Hortalizas,7.6971
la_paz,2024-09-01,Lácteos y Derivados,8.2556
la_paz,2024-09-01,Panadería,15.3696
la_paz,2024-09-01,Pastelería y Masas Típicas,3.7845
santa_cruz,2024-09-01,Abarrotes,3.7652
santa_cruz,2024-09-01,Bazar,0.0
santa_cruz,2024-09-01,Bebidas,4.524
santa_cruz,2024-09-01,CUDADOS OTC,0.0
santa_cruz,2024-09-01,Carnes,1.8306
santa_cruz,2024-09-01,Congelados,17.6471
santa_cruz,2024-09-01,Cuidado Personal,3.675
santa_cruz,2024-09-01,Cuidado del Bebé,19.2703
santa_cruz,2024-09-01,Cuidado del Hogar,4.0947
santa_cruz,2024-09-01,Farmacia Otc,0.0
santa_cruz,2024-09-01,Fiambres,3.6242
santa_cruz,2024-09-01,Frutas y Verduras,1.9413
santa_cruz,2024-09-01,Granos y Hortalizas,6.3769
santa_cruz,2024-09-01,Lácteos y Derivados,10.9511
santa_cruz,2024-09-01,Panadería,6.5819
santa_cruz,2024-09-01,Pastelería y Masas Típicas,24.322
cochabamba,2024-09-02,Abarrotes,5.8617
cochabamba,2024-09-02,Bazar,5.5223
cochabamba,2024-09-02,Bebidas,6.1109
cochabamba,2024-09-02,Carnes,29.4233
cochabamba,2024-09-02,Congelados,8.0117
cochabamba,2024-09-02,Cuidado Personal,11.84
cochabamba,2024-09-02,Cuidado del Bebé,2.655
cochabamba,2024-09-02,Cuidado del Hogar,4.4827
cochabamba,2024-09-02,Fiambres,3.7045
cochabamba,2024-09-02,Frutas y Verduras,1.9961
cochabamba,2024-09-02,Granos y Hortalizas,43.436
cochabamba,2024-09-02,Lácteos y Derivados,15.6904
cochabamba,2024-09-02,Panadería,13.9811
cochabamba,2024-09-02,Pastelería y Masas Típicas,7.1269
la_paz,2024-09-02,Abarrotes,6.4975
la_paz,2024-09-02,Bazar,0.4397
la_paz,2024-09-02,Bebidas,7.5998
la_paz,2024-09-02,Carnes,9.3836
la_paz,2024-09-02,Congelados,3.6652
la_paz,2024-09-02,Cuidado Personal,7.5876
la_paz,2024-09-02,Cuidado del Bebé,6.7615
la_paz,2024-09-02,Cuidado del Hogar,8.6407
la_paz,2024-09-02,Fiambres,3.8756
la_paz,2024-09-02,Frutas y Verduras,12.1111
la_paz,2024-09-02,Granos y Hortalizas,7.6971
la_paz,2024-09-02,Lácteos y Derivados,10.5025
la_paz,2024-09-02,Panadería,18.8351
la_paz,2024-09-02,Pastelería y Masas Típicas,6.8006
santa_cruz,2024-09-02,Abarrotes,3.7676
santa_cruz,2024-09-02,Bazar,0.0
santa_cruz,2024-09-02,Bebidas,4.6431
santa_cruz,2024-09-02,CUDADOS OTC,0.0
santa_cruz,2024-09-02,Carnes,1.784
santa_cruz,2024-09-02,Congelados,18.3604
santa_cruz,2024-09-02,Cuidado Personal,4.1143
santa_cruz,2024-09-02,Cuidado del Bebé,19.2703
santa_cruz,2024-09-02,Cuidado del Hogar,4.3903
santa_cruz,2024-09-02,Farmacia Otc,0.0
santa_cruz,2024-09-02,Fiambres,5.2877
santa_cruz,2024-09-02,Frutas y Verduras,1.9413
santa_cruz,2024-09-02,Granos y Hortalizas,6.3769
santa_cruz,2024-09-02,Lácteos y Derivados,13.5275
santa_cruz,2024-09-02,Panadería,10.4806
santa_cruz,2024-09-02,Pastelería y Masas Típicas,25.129
cochabamba,2024-09-03,Abarrotes,5.8617
cochabamba,2024-09-03,Bazar,5.5223
cochabamba,2024-09-03,Bebidas,6.1109
cochabamba,2024-09-03,Carnes,29.4233
cochabamba,2024-09-03,Congelados,8.0117
cochabamba,2024-09-03,Cuidado Personal,12.1127
cochabamba,2024-09-03,Cuidado del Bebé,2.655
cochabamba,2024-09-03,Cuidado del Hogar,4.4827
cochabamba,2024-09-03,Fiambres,3.7045
cochabamba,2024-09-03,Frutas y Verduras,1.9961
cochabamba,2024-09-03,Granos y Hortalizas,43.436
cochabamba,2024-09-03,Lácteos y Derivados,15.6904
cochabamba,2024-09-03,Panadería,13.9811
cochabamba,2024-09-03,Pastelería y Masas Típicas,7.1269
la_paz,2024-09-03,Abarrotes,6.4975
la_paz,2024-09-03,Bazar,0.4397
la_paz,2024-09-03,Bebidas,7.5998
la_paz,2024-09-03,Carnes,9.3836
la_paz,2024-09-03,Congelados,3.6652
la_paz,2024-09-03,Cuidado Personal,7.5876
la_paz,2024-09-03,Cuidado del Bebé,6.7615
la_paz,2024-09-03,Cuidado del Hogar,8.6449
la_paz,2024-09-03,Fiambres,3.8756
la_paz,2024-09-03,Frutas y Verduras,12.1111
la_paz,2024-09-03,Granos y Hortalizas,7.6971
la_paz,2024-09-03,Lácteos y Derivados,10.5025
la_paz,2024-09-03,Panadería,18.8351
la_paz,2024-09-03,Pastelería y Masas Típicas,6.8006
santa_cruz,2024-09-03,Abarrotes,3.7676
santa_cruz,2024-09-03,Bazar,0.0
santa_cruz,2024-09-03,Bebidas,4.6431
santa_cruz,2024-09-03,CUDADOS OTC,0.0
santa_cruz,2024-09-03,Carnes,1.784
santa_cruz,2024-09-03,Congelados,18.3604
santa_cruz,2024-09-03,Cuidado Personal,4.1143
santa_cruz,2024-09-03,Cuidado del Bebé,19.2703
santa_cruz,2024-09-03,Cuidado del Hogar,4.3903
santa_cruz,2024-09-03,Farmacia Otc,0.0
santa_cruz,2024-09-03,Fiambres,5.2877
santa_cruz,2024-09-03,Frutas y Verduras,1.9413
santa_cruz,2024-09-03,Granos y Hortalizas,6.3769
santa_cruz,2024-09-03,Lácteos y Derivados,13.5275
santa_cruz,2024-09-03,Panadería,10.4806
santa_cruz,2024-09-03,Pastelería y Masas Típicas,25.129
cochabamba,2024-09-04,Abarrotes,6.3437
cochabamba,2024-09-04,Bazar,5.5223
cochabamba,2024-09-04,Bebidas,6.3976
cochabamba,2024-09-04,Carnes,49.1528
cochabamba,2024-09-04,Congelados,9.6961
cochabamba,2024-09-04,Cuidado Personal,13.6223
cochabamba,2024-09-04,Cuidado del Bebé,3.3128
cochabamba,2024-09-04,Cuidado del Hogar,5.2234
cochabamba,2024-09-04,Fiambres,3.8751
cochabamba,2024-09-04,Frutas y Verduras,1.9961
cochabamba,2024-09-04,Granos y Hortalizas,43.436
cochabamba,2024-09-04,Lácteos y Derivados,25.8429
cochabamba,2024-09-04,Panadería,20.849
cochabamba,2024-09-04,Pastelería y Masas Típicas,8.87
la_paz,2024-09-04,Abarrotes,7.1997
la_paz,2024-09-04,Bazar,0.4397
la_paz,2024-09-04,Bebidas,8.2573
la_paz,2024-09-04,Carnes,30.764
la_paz,2024-09-04,Congelados,5.2164
la_paz,2024-09-04,Cuidado Personal,8.226
la_paz,2024-09-04,Cuidado del Bebé,8.6137
la_paz,2024-09-04,Cuidado del Hogar,8.7249
la_paz,2024-09-04,Fiambres,6.2591
la_paz,2024-09-04,Frutas y Verduras,15.486
la_paz,2024-09-04,Granos y Hortalizas,11.7933
la_paz,2024-09-04,Lácteos y Derivados,11.1922
la_paz,2024-09-04,Panadería,27.0383
la_paz,2024-09-04,Pastelería y Masas Típicas,10.5648
santa_cruz,2024-09-04,Abarrotes,4.1332
santa_cruz,2024-09-04,Bazar,0.0
santa_cruz,2024-09-04,Bebidas,4.6913
santa_cruz,2024-09-04,CUDADOS OTC,0.0
santa_cruz,2024-09-04,Carnes,2.6157
santa_cruz,2024-09-04,Congelados,19.0141
santa_cruz,2024-09-04,Cuidado Personal,4.5963
santa_cruz,2024-09-04,Cuidado del Bebé,19.6504
santa_cruz,2024-09-04,Cuidado del Hogar,5.8177
santa_cruz,2024-09-04,Farmacia Otc,0.0
santa_cruz,2024-09-04,Fiambres,8.4605
santa_cruz,2024-09-04,Frutas y Verduras,1.9413
santa_cruz,2024-09-04,Granos y Hortalizas,6.4643
santa_cruz,2024-09-04,Lácteos y Derivados,18.9647
santa_cruz,2024-09-04,Panadería,24.0847
santa_cruz,2024-09-04,Pastelería y Masas Típicas,25.129
cochabamba,2024-09-05,Abarrotes,5.8179
cochabamba,2024-09-05,Bazar,5.5223
cochabamba,2024-09-05,Bebidas,5.7705
cochabamba,2024-09-05,Carnes,21.3416
cochabamba,2024-09-05,Congelados,7.8025
cochabamba,2024-09-05,Cuidado Personal,13.1894
