departamento,fecha,componente,valor,q05,q95
1,0,1,1.229,,
1,0,2,0.233,,
1,0,3,0.254,,
1,0,4,0.421,,
1,0,5,5.749,,
1,0,6,1.639,,
1,0,7,0.168,,
1,0,8,-0.223,,
1,0,9,1.169,,
1,0,10,3.257,,
1,0,11,2.084,,
1,0,12,0.254,,
1,0,13,1.103,,
1,0,14,-0.216,,
1,0,15,0.975,,
1,1,1,1.197,,
1,1,2,0.227,,
1,1,3,0.254,,
1,1,4,0.407,,
1,1,5,5.749,,
1,1,6,1.639,,
1,1,7,0.078,,
1,1,8,-0.574,,
1,1,9,1.023,,
1,1,10,3.273,,
1,1,11,2.084,,
1,1,12,0.254,,
1,1,13,1.122,,
1,1,14,-0.238,,
1,1,15,0.975,,
1,2,1,1.178,,
1,2,2,0.301,,
1,2,3,0.254,,
1,2,4,0.387,,
1,2,5,5.744,,
1,2,6,1.639,,
1,2,7,0.026,,
1,2,8,-0.574,,
1,2,9,0.971,,
1,2,10,3.283,,
1,2,11,1.822,,
1,2,12,0.254,,
1,2,13,1.122,,
1,2,14,-0.238,,
1,2,15,0.975,,
1,3,1,1.178,,
1,3,2,0.301,,
1,3,3,0.254,,
1,3,4,0.387,,
1,3,5,5.744,,
1,3,6,1.639,,
1,3,7,0.026,,
1,3,8,-0.574,,
1,3,9,0.971,,
1,3,10,3.283,,
1,3,11,1.822,,
1,3,12,0.254,,
1,3,13,1.122,,
1,3,14,-0.238,,
1,3,15,0.975,,
1,4,1,1.003,,
1,4,2,0.301,,
1,4,3,-0.080,,
1,4,4,0.396,,
1,4,5,3.489,,
1,4,6,1.639,,
1,4,7,0.004,,
1,4,8,-1.345,,
1,4,9,0.773,,
1,4,10,3.254,,
1,4,11,2.166,,
1,4,12,0.254,,
1,4,13,1.119,,
1,4,14,-0.238,,
1,4,15,0.975,,
1,5,1,0.820,,
1,5,2,0.301,,
1,5,3,-0.080,,
1,5,4,0.390,,
1,5,5,3.256,,
1,5,6,1.651,,
1,5,7,-0.007,,
1,5,8,-1.345,,
1,5,9,0.758,,
1,5,10,1.997,,
1,5,11,0.777,,
1,5,12,0.254,,
1,5,13,1.167,,
1,5,14,-0.238,,
1,5,15,0.975,,
1,6,1,0.806,,
1,6,2,0.320,,
1,6,3,-0.080,,
1,6,4,0.375,,
1,6,5,3.190,,
1,6,6,0.990,,
1,6,7,-0.047,,
1,6,8,0.020,,
1,6,9,1.021,,
1,6,10,2.328,,
1,6,11,0.174,,
1,6,12,0.254,,
1,6,13,1.156,,
1,6,14,-0.238,,
1,6,15,0.975,,
1,7,1,0.813,,
1,7,2,0.330,,
1,7,3,-0.080,,
1,7,4,0.378,,
1,7,5,3.190,,
1,7,6,0.990,,
1,7,7,-0.047,,
1,7,8,0.020,,
1,7,9,1.021,,
1,7,10,2.328,,
1,7,11,0.174,,
1,7,12,0.254,,
1,7,13,1.266,,
1,7,14,-0.238,,
1,7,15,0.975,,
1,8,1,0.781,,
1,8,2,0.331,,
1,8,3,-0.080,,
1,8,4,0.378,,
1,8,5,3.190,,
1,8,6,0.990,,
1,8,7,-0.047,,
1,8,8,0.020,,
1,8,9,1.021,,
1,8,10,2.328,,
1,8,11,-0.277,,
1,8,12,0.254,,
1,8,13,1.266,,
1,8,14,-0.238,,
1,8,15,0.975,,
1,9,1,0.742,,
1,9,2,0.345,,
1,9,3,-0.080,,
1,9,4,0.378,,
1,9,5,3.190,,
1,9,6,0.990,,
1,9,7,-0.113,,
1,9,8,-1.295,,
1,9,9,1.021,,
1,9,10,2.328,,
1,9,11,-0.277,,
1,9,12,0.254,,
1,9,13,1.266,,
1,9,14,-0.238,,
1,9,15,0.975,,
1,10,1,0.751,,
1,10,2,0.345,,
1,10,3,-0.080,,
1,10,4,0.378,,
1,10,5,3.190,,
1,10,6,0.990,,
1,10,7,-0.113,,
1,10,8,-1.295,,
1,10,9,1.021,,
1,10,10,2.328,,
1,10,11,-0.146,,
1,10,12,0.254,,
1,10,13,1.266,,
1,10,14,-0.238,,
1,10,15,0.975,,
1,11,1,0.649,,
1,11,2,0.327,,
1,11,3,-0.080,,
1,11,4,0.426,,
1,11,5,1.785,,
1,11,6,0.524,,
1,11,7,-0.109,,
1,11,8,-1.230,,
1,11,9,1.005,,
1,11,10,2.328,,
1,11,11,0.027,,
1,11,12,0.254,,
1,11,13,1.266,,
1,11,14,-0.241,,
1,11,15,0.975,,
1,12,1,0.688,,
1,12,2,0.328,,
1,12,3,-0.041,,
1,12,4,0.451,,
1,12,5,2.322,,
1,12,6,0.524,,
1,12,7,-0.124,,
1,12,8,-1.230,,
1,12,9,1.005,,
1,12,10,2.328,,
1,12,11,0.038,,
1,12,12,0.254,,
1,12,13,1.266,,
1,12,14,-0.241,,
1,12,15,0.975,,
1,13,1,0.702,,
1,13,2,0.321,,
1,13,3,-0.041,,
1,13,4,0.455,,
1,13,5,2.418,,
1,13,6,0.524,,
1,13,7,-0.113,,
1,13,8,-1.230,,
1,13,9,1.005,,
1,13,10,2.328,,
1,13,11,0.137,,
1,13,12,0.254,,
1,13,13,1.293,,
1,13,14,-0.241,,
1,13,15,0.975,,
1,14,1,0.692,,
1,14,2,0.322,,
1,14,3,-0.041,,
1,14,4,0.455,,
1,14,5,2.290,,
1,14,6,0.488,,
1,14,7,-0.113,,
1,14,8,-1.230,,
1,14,9,1.001,,
1,14,10,2.328,,
1,14,11,0.137,,
1,14,12,0.254,,
1,14,13,1.291,,
1,14,14,-0.241,,
1,14,15,0.975,,
1,15,1,0.669,,
1,15,2,0.311,,
1,15,3,-0.041,,
1,15,4,0.472,,
1,15,5,2.253,,
1,15,6,0.488,,
1,15,7,-0.108,,
1,15,8,-1.230,,
1,15,9,0.982,,
1,15,10,2.463,,
1,15,11,-0.435,,
1,15,12,1.766,,
1,15,13,0.935,,
1,15,14,-0.241,,
1,15,15,0.975,,
1,16,1,0.644,,
1,16,2,0.311,,
1,16,3,-0.041,,
1,16,4,0.472,,
1,16,5,2.211,,
1,16,6,0.470,,
1,16,7,-0.107,,
1,16,8,-1.182,,
1,16,9,0.982,,
1,16,10,2.463,,
1,16,11,-0.745,,
1,16,12,1.766,,
1,16,13,0.923,,
1,16,14,-0.241,,
1,16,15,0.975,,
1,17,1,0.640,,
1,17,2,0.311,,
1,17,3,-0.112,,
1,17,4,0.472,,
1,17,5,2.211,,
1,17,6,0.470,,
1,17,7,-0.107,,
1,17,8,-1.182,,
1,17,9,0.982,,
1,17,10,2.463,,
1,17,11,-0.745,,
1,17,12,1.766,,
1,17,13,0.923,,
1,17,14,-0.241,,
1,17,15,0.975,,
1,18,1,0.405,,
1,18,2,0.303,,
1,18,3,-0.112,,
1,18,4,0.472,,
1,18,5,1.511,,
1,18,6,0.470,,
1,18,7,-1.624,,
1,18,8,-1.188,,
1,18,9,0.975,,
1,18,10,2.469,,
1,18,11,-1.679,,
1,18,12,1.766,,
1,18,13,0.901,,
1,18,14,-0.241,,
1,18,15,0.975,,
1,19,1,0.407,,
1,19,2,0.302,,
1,19,3,-0.112,,
1,19,4,0.472,,
1,19,5,1.511,,
1,19,6,0.470,,
1,19,7,-1.631,,
1,19,8,-1.188,,
1,19,9,0.975,,
1,19,10,2.495,,
1,19,11,-1.679,,
1,19,12,1.766,,
1,19,13,0.912,,
1,19,14,-0.241,,
1,19,15,0.975,,
1,20,1,0.328,,
1,20,2,0.302,,
1,20,3,-0.112,,
1,20,4,0.472,,
1,20,5,1.249,,
1,20,6,0.467,,
1,20,7,-1.633,,
1,20,8,-1.188,,
1,20,9,0.975,,
1,20,10,2.495,,
1,20,11,-2.488,,
1,20,12,1.766,,
1,20,13,0.845,,
