fecha,division,mensual,12_m
2022-04-01,Alimentos y bebidas consumidos fuera del hogar,0.030,0.909
2022-04-01,Alimentos y bebidas no alcohólicas,-0.261,-0.511
2022-04-01,Bebidas alcohólicas y tabaco,-0.538,-1.418
2022-04-01,Bienes y servicios diversos,0.407,0.722
2022-04-01,Comunicaciones,-0.082,1.086
2022-04-01,Educación,0.021,4.027
2022-04-01,"Muebles, bienes y servicios domésticos",0.465,2.424
2022-04-01,Prendas de vestir y calzado,0.199,1.061
2022-04-01,Recreación y cultura,0.051,1.946
2022-04-01,Salud,0.008,0.909
2022-04-01,Transporte,0.242,2.052
2022-04-01,Vivienda y servicios básicos,0.044,0.306
2022-05-01,Alimentos y bebidas consumidos fuera del hogar,0.137,1.030
2022-05-01,Alimentos y bebidas no alcohólicas,1.217,0.899
2022-05-01,Bebidas alcohólicas y tabaco,0.056,-1.145
2022-05-01,Bienes y servicios diversos,0.229,1.489
2022-05-01,Comunicaciones,-0.376,0.980
2022-05-01,Educación,-0.035,4.326
2022-05-01,"Muebles, bienes y servicios domésticos",0.252,2.932
2022-05-01,Prendas de vestir y calzado,0.223,1.452
2022-05-01,Recreación y cultura,-0.213,1.684
2022-05-01,Salud,0.261,1.428
2022-05-01,Transporte,-0.211,1.979
2022-05-01,Vivienda y servicios básicos,0.344,0.637
2022-06-01,Alimentos y bebidas consumidos fuera del hogar,0.241,1.195
2022-06-01,Alimentos y bebidas no alcohólicas,1.133,2.211
2022-06-01,Bebidas alcohólicas y tabaco,0.152,-0.291
2022-06-01,Bienes y servicios diversos,0.328,1.859
2022-06-01,Comunicaciones,-0.362,0.710
2022-06-01,Educación,0.031,4.356
2022-06-01,"Muebles, bienes y servicios domésticos",0.237,2.995
2022-06-01,Prendas de vestir y calzado,0.134,1.564
2022-06-01,Recreación y cultura,-0.047,1.253
2022-06-01,Salud,0.162,1.316
2022-06-01,Transporte,0.069,1.806
2022-06-01,Vivienda y servicios básicos,0.061,0.789
2022-07-01,Alimentos y bebidas consumidos fuera del hogar,0.294,1.385
2022-07-01,Alimentos y bebidas no alcohólicas,0.607,2.334
2022-07-01,Bebidas alcohólicas y tabaco,-0.406,-0.702
2022-07-01,Bienes y servicios diversos,0.295,2.114
2022-07-01,Comunicaciones,-0.698,0.207
2022-07-01,Educación,0.026,4.398
2022-07-01,"Muebles, bienes y servicios domésticos",1.083,4.200
2022-07-01,Prendas de vestir y calzado,0.148,1.730
2022-07-01,Recreación y cultura,-0.204,0.957
2022-07-01,Salud,-0.023,1.081
2022-07-01,Transporte,1.463,3.286
2022-07-01,Vivienda y servicios básicos,0.051,0.817
2022-08-01,Alimentos y bebidas consumidos fuera del hogar,0.120,1.428
2022-08-01,Alimentos y bebidas no alcohólicas,0.181,0.760
2022-08-01,Bebidas alcohólicas y tabaco,0.395,-0.256
2022-08-01,Bienes y servicios diversos,0.035,2.049
2022-08-01,Comunicaciones,-0.070,-0.035
2022-08-01,Educación,0.423,4.791
2022-08-01,"Muebles, bienes y servicios domésticos",0.396,4.605
2022-08-01,Prendas de vestir y calzado,-0.021,1.834
2022-08-01,Recreación y cultura,-0.071,0.814
2022-08-01,Salud,-0.195,1.096
2022-08-01,Transporte,-0.821,2.006
2022-08-01,Vivienda y servicios básicos,0.156,1.036
2022-09-01,Alimentos y bebidas consumidos fuera del hogar,0.062,1.419
2022-09-01,Alimentos y bebidas no alcohólicas,0.448,2.211
2022-09-01,Bebidas alcohólicas y tabaco,0.043,-0.163
2022-09-01,Bienes y servicios diversos,0.133,2.085
2022-09-01,Comunicaciones,-0.034,-0.211
2022-09-01,Educación,-0.001,4.913
2022-09-01,"Muebles, bienes y servicios domésticos",0.448,5.065
2022-09-01,Prendas de vestir y calzado,0.001,1.575
2022-09-01,Recreación y cultura,-0.250,0.216
2022-09-01,Salud,-0.039,1.155
2022-09-01,Transporte,-0.156,1.607
2022-09-01,Vivienda y servicios básicos,0.105,1.184
2022-10-01,Alimentos y bebidas consumidos fuera del hogar,0.315,1.672
2022-10-01,Alimentos y bebidas no alcohólicas,2.185,5.724
2022-10-01,Bebidas alcohólicas y tabaco,-0.107,-0.244
2022-10-01,Bienes y servicios diversos,0.084,1.987
2022-10-01,Comunicaciones,0.008,-0.694
2022-10-01,Educación,-0.032,4.837
2022-10-01,"Muebles, bienes y servicios domésticos",0.344,5.457
2022-10-01,Prendas de vestir y calzado,0.175,1.771
2022-10-01,Recreación y cultura,0.057,0.043
2022-10-01,Salud,-0.100,0.907
2022-10-01,Transporte,0.690,1.998
2022-10-01,Vivienda y servicios básicos,0.084,1.159
2022-11-01,Alimentos y bebidas consumidos fuera del hogar,0.853,2.424
2022-11-01,Alimentos y bebidas no alcohólicas,0.953,6.409
2022-11-01,Bebidas alcohólicas y tabaco,0.102,-0.845
2022-11-01,Bienes y servicios diversos,0.018,2.173
2022-11-01,Comunicaciones,0.032,-1.229
2022-11-01,Educación,-0.039,4.834
2022-11-01,"Muebles, bienes y servicios domésticos",-0.186,5.297
2022-11-01,Prendas de vestir y calzado,-0.290,1.564
2022-11-01,Recreación y cultura,0.110,0.179
2022-11-01,Salud,0.127,0.934
2022-11-01,Transporte,1.081,2.317
2022-11-01,Vivienda y servicios básicos,0.048,1.088
2022-12-01,Alimentos y bebidas consumidos fuera del hogar,0.089,2.426
2022-12-01,Alimentos y bebidas no alcohólicas,-0.245,6.586
2022-12-01,Bebidas alcohólicas y tabaco,0.521,-0.432
2022-12-01,Bienes y servicios diversos,0.557,2.437
2022-12-01,Comunicaciones,-0.113,-1.403
2022-12-01,Educación,0.010,4.749
2022-12-01,"Muebles, bienes y servicios domésticos",0.207,5.041
2022-12-01,Prendas de vestir y calzado,0.495,1.276
2022-12-01,Recreación y cultura,-0.122,-0.426
2022-12-01,Salud,0.325,1.037
2022-12-01,Transporte,0.863,2.067
2022-12-01,Vivienda y servicios básicos,0.016,1.006
2023-01-01,Alimentos y bebidas consumidos fuera del hogar,0.338,2.736
2023-01-01,Alimentos y bebidas no alcohólicas,0.727,6.824
2023-01-01,Bebidas alcohólicas y tabaco,-0.438,-0.347
2023-01-01,Bienes y servicios diversos,0.676,3.023
2023-01-01,Comunicaciones,-0.266,-1.863
2023-01-01,Educación,0.603,1.033
2023-01-01,"Muebles, bienes y servicios domésticos",0.211,4.721
2023-01-01,Prendas de vestir y calzado,0.111,1.436
2023-01-01,Recreación y cultura,0.468,0.053
2023-01-01,Salud,-0.040,0.674
2023-01-01,Transporte,-0.420,2.555
2023-01-01,Vivienda y servicios básicos,0.136,1.192
2023-02-01,Alimentos y bebidas consumidos fuera del hogar,0.176,2.907
2023-02-01,Alimentos y bebidas no alcohólicas,-1.769,4.594
2023-02-01,Bebidas alcohólicas y tabaco,0.104,0.731
