fecha,mensual,12_m
2022-01-01,0.308,0.740
2022-02-01,0.123,0.702
2022-03-01,-0.047,0.774
2022-04-01,0.028,0.866
2022-05-01,0.378,1.414
2022-06-01,0.386,1.792
2022-07-01,0.391,2.039
2022-08-01,0.038,1.548
2022-09-01,0.144,1.894
2022-10-01,0.747,2.887
2022-11-01,0.470,3.171
2022-12-01,0.115,3.123
2023-01-01,0.330,3.145
2023-02-01,-0.439,2.565
2023-03-01,-0.077,2.535
2023-04-01,0.184,2.695
2023-05-01,0.574,2.897
2023-06-01,0.218,2.725
2023-07-01,0.368,2.701
2023-08-01,0.386,3.058
2023-09-01,-0.060,2.848
2023-10-01,-0.010,2.075
2023-11-01,-0.003,1.594
2023-12-01,0.632,2.118
2024-01-01,0.079,1.863
2024-02-01,0.200,2.517
2024-03-01,0.456,3.063
2024-04-01,0.570,3.460
2024-05-01,0.630,3.517
2024-06-01,0.535,3.844
2024-07-01,0.473,3.954
2024-08-01,1.583,5.193
2024-09-01,0.880,6.182
2024-10-01,1.645,7.939
2024-11-01,1.448,9.506
2024-12-01,1.062,9.974
2025-01-01,1.954,12.034
2025-02-01,1.263,13.223
2025-03-01,1.708,14.634
2025-04-01,0.896,15.005
2025-05-01,3.650,18.457
2025-06-01,5.207,23.961
2025-07-01,1.199,24.857
2025-08-01,1.007,24.149
2025-09-01,0.202,23.315
2025-10-01,0.752,22.232
2025-11-01,0.396,20.965
2025-12-01,0.590,20.400
2026-01-01,1.308,19.637
2026-02-01,-0.620,17.413
2026-03-01,-0.339,15.049
2026-04-01,0.136,14.183
2026-05-01,2.130,12.508
