departamento,fecha,componente,inflacion_28d
santa_cruz,2024-09-02,Cuidado del Bebé,7.142
santa_cruz,2024-09-02,Cuidado del Hogar,2.762
santa_cruz,2024-09-02,Farmacia Otc,0.000
santa_cruz,2024-09-02,Fiambres,0.885
santa_cruz,2024-09-02,Frutas y Verduras,0.416
santa_cruz,2024-09-02,Granos y Hortalizas,0.060
santa_cruz,2024-09-02,Lácteos y Derivados,0.441
santa_cruz,2024-09-02,Panadería,1.197
santa_cruz,2024-09-02,Pastelería y Masas Típicas,0.856
cochabamba,2024-09-03,Abarrotes,4.825
cochabamba,2024-09-03,Bazar,10.774
cochabamba,2024-09-03,Bebidas,2.510
cochabamba,2024-09-03,Carnes,-0.269
cochabamba,2024-09-03,Compuesto,2.463
cochabamba,2024-09-03,Congelados,1.269
cochabamba,2024-09-03,Cuidado Personal,4.309
cochabamba,2024-09-03,Cuidado del Bebé,10.738
cochabamba,2024-09-03,Cuidado del Hogar,3.693
cochabamba,2024-09-03,Fiambres,1.544
cochabamba,2024-09-03,Frutas y Verduras,-0.291
cochabamba,2024-09-03,Granos y Hortalizas,0.150
cochabamba,2024-09-03,Lácteos y Derivados,0.879
cochabamba,2024-09-03,Panadería,1.226
cochabamba,2024-09-03,Pastelería y Masas Típicas,0.469
la_paz,2024-09-03,Abarrotes,4.620
la_paz,2024-09-03,Bazar,10.908
la_paz,2024-09-03,Bebidas,2.587
la_paz,2024-09-03,Carnes,-1.165
la_paz,2024-09-03,Compuesto,2.929
la_paz,2024-09-03,Congelados,1.054
la_paz,2024-09-03,Cuidado Personal,6.015
la_paz,2024-09-03,Cuidado del Bebé,9.861
la_paz,2024-09-03,Cuidado del Hogar,4.892
la_paz,2024-09-03,Fiambres,1.654
la_paz,2024-09-03,Frutas y Verduras,-2.800
la_paz,2024-09-03,Granos y Hortalizas,0.254
la_paz,2024-09-03,Lácteos y Derivados,1.282
la_paz,2024-09-03,Panadería,0.954
la_paz,2024-09-03,Pastelería y Masas Típicas,0.947
santa_cruz,2024-09-03,Abarrotes,3.935
santa_cruz,2024-09-03,Bazar,5.643
santa_cruz,2024-09-03,Bebidas,1.461
santa_cruz,2024-09-03,Carnes,0.426
santa_cruz,2024-09-03,Compuesto,2.259
santa_cruz,2024-09-03,Congelados,3.127
santa_cruz,2024-09-03,Cuidado Personal,3.678
santa_cruz,2024-09-03,Cuidado del Bebé,7.142
santa_cruz,2024-09-03,Cuidado del Hogar,2.762
santa_cruz,2024-09-03,Farmacia Otc,0.000
santa_cruz,2024-09-03,Fiambres,0.885
santa_cruz,2024-09-03,Frutas y Verduras,0.416
santa_cruz,2024-09-03,Granos y Hortalizas,0.060
santa_cruz,2024-09-03,Lácteos y Derivados,0.435
santa_cruz,2024-09-03,Panadería,1.197
santa_cruz,2024-09-03,Pastelería y Masas Típicas,0.856
cochabamba,2024-09-04,Abarrotes,4.673
cochabamba,2024-09-04,Bazar,10.774
cochabamba,2024-09-04,Bebidas,2.616
cochabamba,2024-09-04,Carnes,-0.262
cochabamba,2024-09-04,Compuesto,2.484
cochabamba,2024-09-04,Congelados,1.274
cochabamba,2024-09-04,Cuidado Personal,4.407
cochabamba,2024-09-04,Cuidado del Bebé,10.451
cochabamba,2024-09-04,Cuidado del Hogar,2.589
cochabamba,2024-09-04,Fiambres,2.058
cochabamba,2024-09-04,Frutas y Verduras,-0.487
cochabamba,2024-09-04,Granos y Hortalizas,0.150
cochabamba,2024-09-04,Lácteos y Derivados,0.894
cochabamba,2024-09-04,Panadería,1.236
cochabamba,2024-09-04,Pastelería y Masas Típicas,0.469
la_paz,2024-09-04,Abarrotes,4.391
la_paz,2024-09-04,Bazar,10.908
la_paz,2024-09-04,Bebidas,2.063
la_paz,2024-09-04,Carnes,-1.165
la_paz,2024-09-04,Compuesto,2.806
la_paz,2024-09-04,Congelados,1.057
la_paz,2024-09-04,Cuidado Personal,6.139
la_paz,2024-09-04,Cuidado del Bebé,9.668
la_paz,2024-09-04,Cuidado del Hogar,3.476
la_paz,2024-09-04,Fiambres,2.721
la_paz,2024-09-04,Frutas y Verduras,-2.317
la_paz,2024-09-04,Granos y Hortalizas,0.254
la_paz,2024-09-04,Lácteos y Derivados,1.268
la_paz,2024-09-04,Panadería,0.967
la_paz,2024-09-04,Pastelería y Masas Típicas,0.947
